Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
New Addington,538187,162255,0,51.34259048309320,-0.017383327,3,CR0 0DE,"3,4,5,6"
New Barnet,526502,195996,0,51.64853648940240,-0.172969712,5,EN5 1QT,5
New Beckenham,536718,170463,0,51.41670549342140,-0.035304949,4,BR3 1QW,4
New Cross,536750,177110,0,51.47642936493700,-0.032278811,2,SE14 6LD,2
New Cross Gate,536250,176967,0,51.475264866034200,-0.039529052,2,SE14 6AR,2
New Eltham,544005,172999,0,51.43769077832160,0.070444619,4,SE9 2AB,4
New Malden,521392,168612,0,51.40355549,-0.256218102,4,KT3 4PX,4
New Southgate,528672,192218,0,51.61409343513600,-0.143009775,4,N11 1QH,4
Newbury Park,544947,188378,0,51.57563850646380,0.090303158,4,IG2 7RN,4
Nine Elms,530058,177332,0,51.48000104922920,-0.128500983,1,SW8 2NA,1
Norbiton,519424,169495,0,51.41190888768760,-0.284199943,5,KT2 7AZ,5
Norbury,530650,169690,0,51.41118830417270,-0.122799401,3,SW16 3RW,3
North Acton,520831,181937,0,51.523432004609900,-0.259729524,2,W3 6UP,"2,3"
North Dulwich,532950,174567,0,51.45448166721480,-0.08791868,2,SE21 7BX,"2,3"
North Ealing,518816,181243,0,51.51762181807100,-0.288993548,3,W5 3AF,3
North Greenwich,539168,179827,0,51.50025516,0.003586259,2,SE10 0PH,"2,3"
North Harrow,513540,188578,0,51.58463070784390,-0.362632986,5,HA2 7SR,5
North Sheen,519132,175442,0,51.46541914451980,-0.286397462,3,TW9 4QA,3
North Wembley,517663,186198,0,51.56239579644330,-0.303948214,4,HA0 3NT,4
Northfields,517051,179296,0,51.50049115689570,-0.315064813,3,W13 9QU,3
Northolt,513228,184519,0,51.54821230018010,-0.368440588,5,UB5 4AA,5
Northolt Park,513829,185579,0,51.55761846530490,-0.359434189,5,UB5 4XE,5
Northumberland Park,534861,191035,0,51.60201564713910,-0.054132025,3,N17 0HY,3
Northwick Park,516634,187967,0,51.578508169653000,-0.318199386,4,HA3 0AT,4
Northwood,509236,191441,0,51.611212919581400,-0.423837776,6,HA6 2XL,6
Northwood Hills,510267,190305,0,51.600801977914300,-0.409311348,6,HA6 1NZ,6
Norwood Junction,534001,168193,0,51.39695420145060,-0.075209856,4,SE25 5AG,4
Notting Hill Gate,525296,180481,0,51.50937501801180,-0.195921616,1,W11 3HT,"1,2"
Nunhead,535293,175975,0,51.466579898861700,-0.053679742,2,SE15 3XE,2
Oakleigh Park,527001,194800,0,51.63767609370900,-0.166194965,4,EN5 1BU,4
Oakwood,529349,195968,0,51.64763774736000,-0.131853539,5,N14 4UT,5
Ockendon,559004,182828,0,51.52199012375080,0.29048348002345300,7,RM15 6PD,7
Old Street,532764,182474,0,51.525581330743000,-0.087622957,1,EC1V 9NR,1
Orpington,545500,165900,0,51.373520195924500,0.089028902,6,BR6 0SX,6
Osterley,514529,177094,0,51.48121623575930,-0.352096089,4,TW7 4PU,4
Oval,531108,177516,0,51.48141241737750,-0.113321075,2,SE11 4PP,2
Oxford Circus,529102,181227,0,51.51522317440170,-0.14083617,1,W1C 2JS,1
Paddington,526680,181185,0,51.51539350022650,-0.17573675,1,W2 1RH,1
Palmers Green,530925,192798,0,51.61878657015080,-0.110272499,4,N13 4PN,4
Park Royal,519074,182274,0,51.526833556086300,-0.284928913,3,W5 3EL,3
Parsons Green,525029,176645,0,51.47495982565950,-0.20112449,2,SW6 4HU,2
Peckham Rye,534152,176271,0,51.46951125269600,-0.069983553,2,SE15 5DQ,2
Penge East,535374,170791,0,51.419975262275900,-0.054495265,4,SE20 7BQ,4
Penge West,534952,170567,0,51.41806283133320,-0.060645764,4,SE20 8NU,4
Perivale,516404,183270,0,51.53634129467290,-0.323070416,4,UB6 7NP,4
Petts Wood,544440,167548,0,51.38859911569540,0.07448003,5,BR5 1LZ,5
Phipps Bridge,526534,168717,0,51.403376431529700,-0.182296787,3,CR4 3QN,"3,4,5,6"
Piccadilly Circus,529612,180625,0,51.50969653217060,-0.133711596,1,W1J 9HS,1
